2000 1000000000
151000000 1000000 302
151500000 1000000 303
152000000 1000000 304
152500000 1000000 305
153000000 1000000 306
153500000 1000000 307
154000000 1000000 308
154500000 1000000 309
155000000 1000000 310
155500000 1000000 311
156000000 1000000 312
156500000 1000000 313
157000000 1000000 314
157500000 1000000 315
158000000 1000000 316
158500000 1000000 317
159000000 1000000 318
159500000 1000000 319
160000000 1000000 320
160500000 1000000 321
161000000 1000000 322
161500000 1000000 323
162000000 1000000 324
162500000 1000000 325
163000000 1000000 326
163500000 1000000 327
164000000 1000000 328
164500000 1000000 329
165000000 1000000 330
165500000 1000000 331
166000000 1000000 332
166500000 1000000 333
167000000 1000000 334
167500000 1000000 335
168000000 1000000 336
168500000 1000000 337
169000000 1000000 338
169500000 1000000 339
170000000 1000000 340
170500000 1000000 341
171000000 1000000 342
171500000 1000000 343
172000000 1000000 344
172500000 1000000 345
173000000 1000000 346
173500000 1000000 347
174000000 1000000 348
174500000 1000000 349
175000000 1000000 350
175500000 1000000 351
176000000 1000000 352
176500000 1000000 353
177000000 1000000 354
177500000 1000000 355
178000000 1000000 356
178500000 1000000 357
179000000 1000000 358
179500000 1000000 359
180000000 1000000 360
180500000 1000000 361
181000000 1000000 362
181500000 1000000 363
182000000 1000000 364
182500000 1000000 365
183000000 1000000 366
183500000 1000000 367
184000000 1000000 368
184500000 1000000 369
185000000 1000000 370
185500000 1000000 371
186000000 1000000 372
186500000 1000000 373
187000000 1000000 374
187500000 1000000 375
188000000 1000000 376
188500000 1000000 377
189000000 1000000 378
189500000 1000000 379
190000000 1000000 380
190500000 1000000 381
191000000 1000000 382
191500000 1000000 383
192000000 1000000 384
192500000 1000000 385
193000000 1000000 386
193500000 1000000 387
194000000 1000000 388
194500000 1000000 389
195000000 1000000 390
195500000 1000000 391
196000000 1000000 392
196500000 1000000 393
197000000 1000000 394
197500000 1000000 395
198000000 1000000 396
198500000 1000000 397
199000000 1000000 398
199500000 1000000 399
200000000 1000000 400
200500000 1000000 401
201000000 1000000 402
201500000 1000000 403
202000000 1000000 404
202500000 1000000 405
203000000 1000000 406
203500000 1000000 407
204000000 1000000 408
204500000 1000000 409
205000000 1000000 410
205500000 1000000 411
206000000 1000000 412
206500000 1000000 413
207000000 1000000 414
207500000 1000000 415
208000000 1000000 416
208500000 1000000 417
209000000 1000000 418
209500000 1000000 419
210000000 1000000 420
210500000 1000000 421
211000000 1000000 422
211500000 1000000 423
212000000 1000000 424
212500000 1000000 425
213000000 1000000 426
213500000 1000000 427
214000000 1000000 428
214500000 1000000 429
215000000 1000000 430
215500000 1000000 431
216000000 1000000 432
216500000 1000000 433
217000000 1000000 434
217500000 1000000 435
218000000 1000000 436
218500000 1000000 437
219000000 1000000 438
219500000 1000000 439
220000000 1000000 440
220500000 1000000 441
221000000 1000000 442
221500000 1000000 443
222000000 1000000 444
222500000 1000000 445
223000000 1000000 446
223500000 1000000 447
224000000 1000000 448
224500000 1000000 449
225000000 1000000 450
225500000 1000000 451
226000000 1000000 452
226500000 1000000 453
227000000 1000000 454
227500000 1000000 455
228000000 1000000 456
228500000 1000000 457
229000000 1000000 458
229500000 1000000 459
230000000 1000000 460
230500000 1000000 461
231000000 1000000 462
231500000 1000000 463
232000000 1000000 464
232500000 1000000 465
233000000 1000000 466
233500000 1000000 467
234000000 1000000 468
234500000 1000000 469
235000000 1000000 470
235500000 1000000 471
236000000 1000000 472
236500000 1000000 473
237000000 1000000 474
237500000 1000000 475
238000000 1000000 476
238500000 1000000 477
239000000 1000000 478
239500000 1000000 479
240000000 1000000 480
240500000 1000000 481
241000000 1000000 482
241500000 1000000 483
242000000 1000000 484
242500000 1000000 485
243000000 1000000 486
243500000 1000000 487
244000000 1000000 488
244500000 1000000 489
245000000 1000000 490
245500000 1000000 491
246000000 1000000 492
246500000 1000000 493
247000000 1000000 494
247500000 1000000 495
248000000 1000000 496
248500000 1000000 497
249000000 1000000 498
249500000 1000000 499
250000000 1000000 500
250500000 1000000 501
251000000 1000000 502
251500000 1000000 503
252000000 1000000 504
252500000 1000000 505
253000000 1000000 506
253500000 1000000 507
254000000 1000000 508
254500000 1000000 509
255000000 1000000 510
255500000 1000000 511
256000000 1000000 512
256500000 1000000 513
257000000 1000000 514
257500000 1000000 515
258000000 1000000 516
258500000 1000000 517
259000000 1000000 518
259500000 1000000 519
260000000 1000000 520
260500000 1000000 521
261000000 1000000 522
261500000 1000000 523
262000000 1000000 524
262500000 1000000 525
263000000 1000000 526
263500000 1000000 527
264000000 1000000 528
264500000 1000000 529
265000000 1000000 530
265500000 1000000 531
266000000 1000000 532
266500000 1000000 533
267000000 1000000 534
267500000 1000000 535
268000000 1000000 536
268500000 1000000 537
269000000 1000000 538
269500000 1000000 539
270000000 1000000 540
270500000 1000000 541
271000000 1000000 542
271500000 1000000 543
272000000 1000000 544
272500000 1000000 545
273000000 1000000 546
273500000 1000000 547
274000000 1000000 548
274500000 1000000 549
275000000 1000000 550
275500000 1000000 551
276000000 1000000 552
276500000 1000000 553
277000000 1000000 554
277500000 1000000 555
278000000 1000000 556
278500000 1000000 557
279000000 1000000 558
279500000 1000000 559
280000000 1000000 560
280500000 1000000 561
281000000 1000000 562
281500000 1000000 563
282000000 1000000 564
282500000 1000000 565
283000000 1000000 566
283500000 1000000 567
284000000 1000000 568
284500000 1000000 569
285000000 1000000 570
285500000 1000000 571
286000000 1000000 572
286500000 1000000 573
287000000 1000000 574
287500000 1000000 575
288000000 1000000 576
288500000 1000000 577
289000000 1000000 578
289500000 1000000 579
290000000 1000000 580
290500000 1000000 581
291000000 1000000 582
291500000 1000000 583
292000000 1000000 584
292500000 1000000 585
293000000 1000000 586
293500000 1000000 587
294000000 1000000 588
294500000 1000000 589
295000000 1000000 590
295500000 1000000 591
296000000 1000000 592
296500000 1000000 593
297000000 1000000 594
297500000 1000000 595
298000000 1000000 596
298500000 1000000 597
299000000 1000000 598
299500000 1000000 599
300000000 1000000 600
300500000 1000000 601
301000000 1000000 602
301500000 1000000 603
302000000 1000000 604
302500000 1000000 605
303000000 1000000 606
303500000 1000000 607
304000000 1000000 608
304500000 1000000 609
305000000 1000000 610
305500000 1000000 611
306000000 1000000 612
306500000 1000000 613
307000000 1000000 614
307500000 1000000 615
308000000 1000000 616
308500000 1000000 617
309000000 1000000 618
309500000 1000000 619
310000000 1000000 620
310500000 1000000 621
311000000 1000000 622
311500000 1000000 623
312000000 1000000 624
312500000 1000000 625
313000000 1000000 626
313500000 1000000 627
314000000 1000000 628
314500000 1000000 629
315000000 1000000 630
315500000 1000000 631
316000000 1000000 632
316500000 1000000 633
317000000 1000000 634
317500000 1000000 635
318000000 1000000 636
318500000 1000000 637
319000000 1000000 638
319500000 1000000 639
320000000 1000000 640
320500000 1000000 641
321000000 1000000 642
321500000 1000000 643
322000000 1000000 644
322500000 1000000 645
323000000 1000000 646
323500000 1000000 647
324000000 1000000 648
324500000 1000000 649
325000000 1000000 650
325500000 1000000 651
326000000 1000000 652
326500000 1000000 653
327000000 1000000 654
327500000 1000000 655
328000000 1000000 656
328500000 1000000 657
329000000 1000000 658
329500000 1000000 659
330000000 1000000 660
330500000 1000000 661
331000000 1000000 662
331500000 1000000 663
332000000 1000000 664
332500000 1000000 665
333000000 1000000 666
333500000 1000000 667
334000000 1000000 668
334500000 1000000 669
335000000 1000000 670
335500000 1000000 671
336000000 1000000 672
336500000 1000000 673
337000000 1000000 674
337500000 1000000 675
338000000 1000000 676
338500000 1000000 677
339000000 1000000 678
339500000 1000000 679
340000000 1000000 680
340500000 1000000 681
341000000 1000000 682
341500000 1000000 683
342000000 1000000 684
342500000 1000000 685
343000000 1000000 686
343500000 1000000 687
344000000 1000000 688
344500000 1000000 689
345000000 1000000 690
345500000 1000000 691
346000000 1000000 692
346500000 1000000 693
347000000 1000000 694
347500000 1000000 695
348000000 1000000 696
348500000 1000000 697
349000000 1000000 698
349500000 1000000 699
350000000 1000000 700
350500000 1000000 701
351000000 1000000 702
351500000 1000000 703
352000000 1000000 704
352500000 1000000 705
353000000 1000000 706
353500000 1000000 707
354000000 1000000 708
354500000 1000000 709
355000000 1000000 710
355500000 1000000 711
356000000 1000000 712
356500000 1000000 713
357000000 1000000 714
357500000 1000000 715
358000000 1000000 716
358500000 1000000 717
359000000 1000000 718
359500000 1000000 719
360000000 1000000 720
360500000 1000000 721
361000000 1000000 722
361500000 1000000 723
362000000 1000000 724
362500000 1000000 725
363000000 1000000 726
363500000 1000000 727
364000000 1000000 728
364500000 1000000 729
365000000 1000000 730
365500000 1000000 731
366000000 1000000 732
366500000 1000000 733
367000000 1000000 734
367500000 1000000 735
368000000 1000000 736
368500000 1000000 737
369000000 1000000 738
369500000 1000000 739
370000000 1000000 740
370500000 1000000 741
371000000 1000000 742
371500000 1000000 743
372000000 1000000 744
372500000 1000000 745
373000000 1000000 746
373500000 1000000 747
374000000 1000000 748
374500000 1000000 749
375000000 1000000 750
375500000 1000000 751
376000000 1000000 752
376500000 1000000 753
377000000 1000000 754
377500000 1000000 755
378000000 1000000 756
378500000 1000000 757
379000000 1000000 758
379500000 1000000 759
380000000 1000000 760
380500000 1000000 761
381000000 1000000 762
381500000 1000000 763
382000000 1000000 764
382500000 1000000 765
383000000 1000000 766
383500000 1000000 767
384000000 1000000 768
384500000 1000000 769
385000000 1000000 770
385500000 1000000 771
386000000 1000000 772
386500000 1000000 773
387000000 1000000 774
387500000 1000000 775
388000000 1000000 776
388500000 1000000 777
389000000 1000000 778
389500000 1000000 779
390000000 1000000 780
390500000 1000000 781
391000000 1000000 782
391500000 1000000 783
392000000 1000000 784
392500000 1000000 785
393000000 1000000 786
393500000 1000000 787
394000000 1000000 788
394500000 1000000 789
395000000 1000000 790
395500000 1000000 791
396000000 1000000 792
396500000 1000000 793
397000000 1000000 794
397500000 1000000 795
398000000 1000000 796
398500000 1000000 797
399000000 1000000 798
399500000 1000000 799
400000000 1000000 800
400500000 1000000 801
401000000 1000000 802
401500000 1000000 803
402000000 1000000 804
402500000 1000000 805
403000000 1000000 806
403500000 1000000 807
404000000 1000000 808
404500000 1000000 809
405000000 1000000 810
405500000 1000000 811
406000000 1000000 812
406500000 1000000 813
407000000 1000000 814
407500000 1000000 815
408000000 1000000 816
408500000 1000000 817
409000000 1000000 818
409500000 1000000 819
410000000 1000000 820
410500000 1000000 821
411000000 1000000 822
411500000 1000000 823
412000000 1000000 824
412500000 1000000 825
413000000 1000000 826
413500000 1000000 827
414000000 1000000 828
414500000 1000000 829
415000000 1000000 830
415500000 1000000 831
416000000 1000000 832
416500000 1000000 833
417000000 1000000 834
417500000 1000000 835
418000000 1000000 836
418500000 1000000 837
419000000 1000000 838
419500000 1000000 839
420000000 1000000 840
420500000 1000000 841
421000000 1000000 842
421500000 1000000 843
422000000 1000000 844
422500000 1000000 845
423000000 1000000 846
423500000 1000000 847
424000000 1000000 848
424500000 1000000 849
425000000 1000000 850
425500000 1000000 851
426000000 1000000 852
426500000 1000000 853
427000000 1000000 854
427500000 1000000 855
428000000 1000000 856
428500000 1000000 857
429000000 1000000 858
429500000 1000000 859
430000000 1000000 860
430500000 1000000 861
431000000 1000000 862
431500000 1000000 863
432000000 1000000 864
432500000 1000000 865
433000000 1000000 866
433500000 1000000 867
434000000 1000000 868
434500000 1000000 869
435000000 1000000 870
435500000 1000000 871
436000000 1000000 872
436500000 1000000 873
437000000 1000000 874
437500000 1000000 875
438000000 1000000 876
438500000 1000000 877
439000000 1000000 878
439500000 1000000 879
440000000 1000000 880
440500000 1000000 881
441000000 1000000 882
441500000 1000000 883
442000000 1000000 884
442500000 1000000 885
443000000 1000000 886
443500000 1000000 887
444000000 1000000 888
444500000 1000000 889
445000000 1000000 890
445500000 1000000 891
446000000 1000000 892
446500000 1000000 893
447000000 1000000 894
447500000 1000000 895
448000000 1000000 896
448500000 1000000 897
449000000 1000000 898
449500000 1000000 899
450000000 1000000 900
450500000 1000000 901
451000000 1000000 902
451500000 1000000 903
452000000 1000000 904
452500000 1000000 905
453000000 1000000 906
453500000 1000000 907
454000000 1000000 908
454500000 1000000 909
455000000 1000000 910
455500000 1000000 911
456000000 1000000 912
456500000 1000000 913
457000000 1000000 914
457500000 1000000 915
458000000 1000000 916
458500000 1000000 917
459000000 1000000 918
459500000 1000000 919
460000000 1000000 920
460500000 1000000 921
461000000 1000000 922
461500000 1000000 923
462000000 1000000 924
462500000 1000000 925
463000000 1000000 926
463500000 1000000 927
464000000 1000000 928
464500000 1000000 929
465000000 1000000 930
465500000 1000000 931
466000000 1000000 932
466500000 1000000 933
467000000 1000000 934
467500000 1000000 935
468000000 1000000 936
468500000 1000000 937
469000000 1000000 938
469500000 1000000 939
470000000 1000000 940
470500000 1000000 941
471000000 1000000 942
471500000 1000000 943
472000000 1000000 944
472500000 1000000 945
473000000 1000000 946
473500000 1000000 947
474000000 1000000 948
474500000 1000000 949
475000000 1000000 950
475500000 1000000 951
476000000 1000000 952
476500000 1000000 953
477000000 1000000 954
477500000 1000000 955
478000000 1000000 956
478500000 1000000 957
479000000 1000000 958
479500000 1000000 959
480000000 1000000 960
480500000 1000000 961
481000000 1000000 962
481500000 1000000 963
482000000 1000000 964
482500000 1000000 965
483000000 1000000 966
483500000 1000000 967
484000000 1000000 968
484500000 1000000 969
485000000 1000000 970
485500000 1000000 971
486000000 1000000 972
486500000 1000000 973
487000000 1000000 974
487500000 1000000 975
488000000 1000000 976
488500000 1000000 977
489000000 1000000 978
489500000 1000000 979
490000000 1000000 980
490500000 1000000 981
491000000 1000000 982
491500000 1000000 983
492000000 1000000 984
492500000 1000000 985
493000000 1000000 986
493500000 1000000 987
494000000 1000000 988
494500000 1000000 989
495000000 1000000 990
495500000 1000000 991
496000000 1000000 992
496500000 1000000 993
497000000 1000000 994
497500000 1000000 995
498000000 1000000 996
498500000 1000000 997
499000000 1000000 998
499500000 1000000 999
500000000 1000000 1000
500500000 1000000 1001
501000000 1000000 1002
501500000 1000000 1003
502000000 1000000 1004
502500000 1000000 1005
503000000 1000000 1006
503500000 1000000 1007
504000000 1000000 1008
504500000 1000000 1009
505000000 1000000 1010
505500000 1000000 1011
506000000 1000000 1012
506500000 1000000 1013
507000000 1000000 1014
507500000 1000000 1015
508000000 1000000 1016
508500000 1000000 1017
509000000 1000000 1018
509500000 1000000 1019
510000000 1000000 1020
510500000 1000000 1021
511000000 1000000 1022
511500000 1000000 1023
512000000 1000000 1024
512500000 1000000 1025
513000000 1000000 1026
513500000 1000000 1027
514000000 1000000 1028
514500000 1000000 1029
515000000 1000000 1030
515500000 1000000 1031
516000000 1000000 1032
516500000 1000000 1033
517000000 1000000 1034
517500000 1000000 1035
518000000 1000000 1036
518500000 1000000 1037
519000000 1000000 1038
519500000 1000000 1039
520000000 1000000 1040
520500000 1000000 1041
521000000 1000000 1042
521500000 1000000 1043
522000000 1000000 1044
522500000 1000000 1045
523000000 1000000 1046
523500000 1000000 1047
524000000 1000000 1048
524500000 1000000 1049
525000000 1000000 1050
525500000 1000000 1051
526000000 1000000 1052
526500000 1000000 1053
527000000 1000000 1054
527500000 1000000 1055
528000000 1000000 1056
528500000 1000000 1057
529000000 1000000 1058
529500000 1000000 1059
530000000 1000000 1060
530500000 1000000 1061
531000000 1000000 1062
531500000 1000000 1063
532000000 1000000 1064
532500000 1000000 1065
533000000 1000000 1066
533500000 1000000 1067
534000000 1000000 1068
534500000 1000000 1069
535000000 1000000 1070
535500000 1000000 1071
536000000 1000000 1072
536500000 1000000 1073
537000000 1000000 1074
537500000 1000000 1075
538000000 1000000 1076
538500000 1000000 1077
539000000 1000000 1078
539500000 1000000 1079
540000000 1000000 1080
540500000 1000000 1081
541000000 1000000 1082
541500000 1000000 1083
542000000 1000000 1084
542500000 1000000 1085
543000000 1000000 1086
543500000 1000000 1087
544000000 1000000 1088
544500000 1000000 1089
545000000 1000000 1090
545500000 1000000 1091
546000000 1000000 1092
546500000 1000000 1093
547000000 1000000 1094
547500000 1000000 1095
548000000 1000000 1096
548500000 1000000 1097
549000000 1000000 1098
549500000 1000000 1099
550000000 1000000 1100
550500000 1000000 1101
551000000 1000000 1102
551500000 1000000 1103
552000000 1000000 1104
552500000 1000000 1105
553000000 1000000 1106
553500000 1000000 1107
554000000 1000000 1108
554500000 1000000 1109
555000000 1000000 1110
555500000 1000000 1111
556000000 1000000 1112
556500000 1000000 1113
557000000 1000000 1114
557500000 1000000 1115
558000000 1000000 1116
558500000 1000000 1117
559000000 1000000 1118
559500000 1000000 1119
560000000 1000000 1120
560500000 1000000 1121
561000000 1000000 1122
561500000 1000000 1123
562000000 1000000 1124
562500000 1000000 1125
563000000 1000000 1126
563500000 1000000 1127
564000000 1000000 1128
564500000 1000000 1129
565000000 1000000 1130
565500000 1000000 1131
566000000 1000000 1132
566500000 1000000 1133
567000000 1000000 1134
567500000 1000000 1135
568000000 1000000 1136
568500000 1000000 1137
569000000 1000000 1138
569500000 1000000 1139
570000000 1000000 1140
570500000 1000000 1141
571000000 1000000 1142
571500000 1000000 1143
572000000 1000000 1144
572500000 1000000 1145
573000000 1000000 1146
573500000 1000000 1147
574000000 1000000 1148
574500000 1000000 1149
575000000 1000000 1150
575500000 1000000 1151
576000000 1000000 1152
576500000 1000000 1153
577000000 1000000 1154
577500000 1000000 1155
578000000 1000000 1156
578500000 1000000 1157
579000000 1000000 1158
579500000 1000000 1159
580000000 1000000 1160
580500000 1000000 1161
581000000 1000000 1162
581500000 1000000 1163
582000000 1000000 1164
582500000 1000000 1165
583000000 1000000 1166
583500000 1000000 1167
584000000 1000000 1168
584500000 1000000 1169
585000000 1000000 1170
585500000 1000000 1171
586000000 1000000 1172
586500000 1000000 1173
587000000 1000000 1174
587500000 1000000 1175
588000000 1000000 1176
588500000 1000000 1177
589000000 1000000 1178
589500000 1000000 1179
590000000 1000000 1180
590500000 1000000 1181
591000000 1000000 1182
591500000 1000000 1183
592000000 1000000 1184
592500000 1000000 1185
593000000 1000000 1186
593500000 1000000 1187
594000000 1000000 1188
594500000 1000000 1189
595000000 1000000 1190
595500000 1000000 1191
596000000 1000000 1192
596500000 1000000 1193
597000000 1000000 1194
597500000 1000000 1195
598000000 1000000 1196
598500000 1000000 1197
599000000 1000000 1198
599500000 1000000 1199
600000000 1000000 1200
600500000 1000000 1201
601000000 1000000 1202
601500000 1000000 1203
602000000 1000000 1204
602500000 1000000 1205
603000000 1000000 1206
603500000 1000000 1207
604000000 1000000 1208
604500000 1000000 1209
605000000 1000000 1210
605500000 1000000 1211
606000000 1000000 1212
606500000 1000000 1213
607000000 1000000 1214
607500000 1000000 1215
608000000 1000000 1216
608500000 1000000 1217
609000000 1000000 1218
609500000 1000000 1219
610000000 1000000 1220
610500000 1000000 1221
611000000 1000000 1222
611500000 1000000 1223
612000000 1000000 1224
612500000 1000000 1225
613000000 1000000 1226
613500000 1000000 1227
614000000 1000000 1228
614500000 1000000 1229
615000000 1000000 1230
615500000 1000000 1231
616000000 1000000 1232
616500000 1000000 1233
617000000 1000000 1234
617500000 1000000 1235
618000000 1000000 1236
618500000 1000000 1237
619000000 1000000 1238
619500000 1000000 1239
620000000 1000000 1240
620500000 1000000 1241
621000000 1000000 1242
621500000 1000000 1243
622000000 1000000 1244
622500000 1000000 1245
623000000 1000000 1246
623500000 1000000 1247
624000000 1000000 1248
624500000 1000000 1249
625000000 1000000 1250
625500000 1000000 1251
626000000 1000000 1252
626500000 1000000 1253
627000000 1000000 1254
627500000 1000000 1255
628000000 1000000 1256
628500000 1000000 1257
629000000 1000000 1258
629500000 1000000 1259
630000000 1000000 1260
630500000 1000000 1261
631000000 1000000 1262
631500000 1000000 1263
632000000 1000000 1264
632500000 1000000 1265
633000000 1000000 1266
633500000 1000000 1267
634000000 1000000 1268
634500000 1000000 1269
635000000 1000000 1270
635500000 1000000 1271
636000000 1000000 1272
636500000 1000000 1273
637000000 1000000 1274
637500000 1000000 1275
638000000 1000000 1276
638500000 1000000 1277
639000000 1000000 1278
639500000 1000000 1279
640000000 1000000 1280
640500000 1000000 1281
641000000 1000000 1282
641500000 1000000 1283
642000000 1000000 1284
642500000 1000000 1285
643000000 1000000 1286
643500000 1000000 1287
644000000 1000000 1288
644500000 1000000 1289
645000000 1000000 1290
645500000 1000000 1291
646000000 1000000 1292
646500000 1000000 1293
647000000 1000000 1294
647500000 1000000 1295
648000000 1000000 1296
648500000 1000000 1297
649000000 1000000 1298
649500000 1000000 1299
650000000 1000000 1300
650500000 1000000 1301
651000000 1000000 1302
651500000 1000000 1303
652000000 1000000 1304
652500000 1000000 1305
653000000 1000000 1306
653500000 1000000 1307
654000000 1000000 1308
654500000 1000000 1309
655000000 1000000 1310
655500000 1000000 1311
656000000 1000000 1312
656500000 1000000 1313
657000000 1000000 1314
657500000 1000000 1315
658000000 1000000 1316
658500000 1000000 1317
659000000 1000000 1318
659500000 1000000 1319
660000000 1000000 1320
660500000 1000000 1321
661000000 1000000 1322
661500000 1000000 1323
662000000 1000000 1324
662500000 1000000 1325
663000000 1000000 1326
663500000 1000000 1327
664000000 1000000 1328
664500000 1000000 1329
665000000 1000000 1330
665500000 1000000 1331
666000000 1000000 1332
666500000 1000000 1333
667000000 1000000 1334
667500000 1000000 1335
668000000 1000000 1336
668500000 1000000 1337
669000000 1000000 1338
669500000 1000000 1339
670000000 1000000 1340
670500000 1000000 1341
671000000 1000000 1342
671500000 1000000 1343
672000000 1000000 1344
672500000 1000000 1345
673000000 1000000 1346
673500000 1000000 1347
674000000 1000000 1348
674500000 1000000 1349
675000000 1000000 1350
675500000 1000000 1351
676000000 1000000 1352
676500000 1000000 1353
677000000 1000000 1354
677500000 1000000 1355
678000000 1000000 1356
678500000 1000000 1357
679000000 1000000 1358
679500000 1000000 1359
680000000 1000000 1360
680500000 1000000 1361
